               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0033622,           0.0031872,             0.07961,             0.65302,             0.11997,            0.049169,            0.048998,           0.0017311,           0.0017982,            0.032178,            0.003268,            0.003268,            0.003268
                  36,             0.00327,           0.0031196,            0.079232,             0.65075,              0.1235,            0.049641,            0.049423,            0.001774,           0.0019009,            0.032079,             0.00307,             0.00307,             0.00307
                  37,           0.0032363,           0.0030842,             0.07922,             0.66874,             0.11089,            0.052235,             0.05203,           0.0017481,           0.0017849,            0.031947,            0.002872,            0.002872,            0.002872
                  38,           0.0031712,           0.0029902,            0.079128,             0.68622,            0.091614,            0.052507,            0.052316,           0.0017915,           0.0017189,            0.031858,            0.002674,            0.002674,            0.002674
                  39,           0.0030096,           0.0029449,            0.078952,             0.66545,             0.10154,            0.054437,            0.054171,           0.0018056,           0.0016988,            0.031748,            0.002476,            0.002476,            0.002476
                  40,           0.0029887,           0.0029254,            0.079183,             0.69399,             0.10143,            0.055081,            0.054817,           0.0017272,            0.001613,            0.031658,            0.002278,            0.002278,            0.002278
                  41,           0.0029384,            0.002888,            0.079471,             0.65832,             0.11435,            0.056171,            0.055941,           0.0016732,           0.0017719,            0.031567,             0.00208,             0.00208,             0.00208
                  42,           0.0028292,           0.0028395,            0.079016,             0.64227,             0.12657,            0.058102,            0.057827,           0.0017072,           0.0016955,            0.031474,            0.001882,            0.001882,            0.001882
                  43,           0.0026902,           0.0027947,            0.078374,             0.63005,             0.13071,            0.060274,            0.059995,           0.0018281,           0.0017247,            0.031409,            0.001684,            0.001684,            0.001684
                  44,           0.0026239,           0.0026988,            0.078991,             0.62641,             0.13617,            0.062084,            0.061773,           0.0018258,           0.0019486,            0.031291,            0.001486,            0.001486,            0.001486
                  45,           0.0024944,           0.0026974,            0.078666,             0.60565,             0.14203,            0.062941,            0.062713,           0.0017111,           0.0019541,            0.031192,            0.001288,            0.001288,            0.001288
                  46,           0.0023974,           0.0026354,            0.078924,             0.59569,             0.15154,            0.064629,            0.064396,           0.0017236,           0.0019478,            0.031104,             0.00109,             0.00109,             0.00109
                  47,           0.0022528,           0.0025154,             0.07776,             0.59723,             0.15391,            0.065829,            0.065498,           0.0018144,           0.0018999,             0.03103,            0.000892,            0.000892,            0.000892
                  48,           0.0021618,            0.002522,            0.078566,             0.57921,             0.16389,            0.067372,             0.06716,           0.0017544,           0.0017828,            0.030969,            0.000694,            0.000694,            0.000694
                  49,           0.0019823,           0.0024287,            0.076898,             0.56854,             0.16263,             0.06722,            0.066995,           0.0017591,           0.0018509,            0.030911,            0.000496,            0.000496,            0.000496
